PeakID (cmd=annotatePeaks.pl /Volumes/Bioinfo_Ext/16185R/Analysis/Diffbind/practice.txt dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3R.16228768.16265537	chr3R	16228768	16265537	+	37156.3840036376	-0.00285725950681024	intron (NM_169709, intron 1 of 1)	intron (NM_169709, intron 1 of 1)	4336	NM_169709	53562	Dm.1728	NM_080255		tara	5472|CG6889|Dmel\CG6889|EP(3)3463|Tara|anon-WO0257455.25|l(3)03881|l(3)j1C5|l(3)jlC5	taranis	protein-coding
3R.10075062.10105306	chr3R	10075062	10105306	+	28293.0530372664	0.0802322352014959	promoter-TSS (NR_048356)	promoter-TSS (NR_048356)	-942	NR_048356	12798084		NR_048356		mir-317	317|CR33621|CR42900|Dmel\CR42900|Dmel_CR33621|Mir-317|dme-miR-317|dme-mir-317|miR-317	mir-317 stem loop	ncRNA
3R.9411188.9462030	chr3R	9411188	9462030	+	28122.2713794189	0.0352250015074593	promoter-TSS (NM_001043226)	promoter-TSS (NM_001043226)	-226	NM_001300323	44258	Dm.6913	NM_169280		ps	BcDNA:RE47781|CG16765|CG16776|CG16777|CG18509|CG42670|CG8144|Dmel\CG42670|Dmel_CG16765|Dmel_CG16777|EP(3)3406|NOVA1|PS|cg8144|l(3)10615	pasilla	protein-coding
2L.11999929.12017138	chr2L	11999929	12017138	+	26499.3406991923	0.0869424765957447	exon (NM_057748, exon 1 of 3)	exon (NM_057748, exon 1 of 3)	155	NM_057748	34615	Dm.409	NM_057748		Rh5	CG5279|DMELRH5|Dm Rh5|Dmel\CG5279|RH5|Rh|rh5	Rhodopsin 5	protein-coding
2L.468834.496176	chr2L	468834	496176	+	26123.0456909165	0.191657669045632	intron (NM_001272901, intron 1 of 7)	CpG	-2817	NM_164384	33224	Dm.6739	NM_134685		cbt	CG4427|Cabot|Cabut|Dmel\CG4427|EP(2)2237|EP2237|dTIEG	cabut	protein-coding
2R.11172216.11212115	chr2R	11172216	11212115	+	25418.5569964208	0.290792008514248	intron (NM_057375, intron 2 of 7)	intron (NM_057375, intron 2 of 7)	-6111	NM_134279	36171	Dm.4730	NM_057375		shn	BEST:SD06302|CG7734|Dmel\CG7734|EP(2)2359|EP2359|SD06302|SHN|Schnurri|Shn|l(2)04738|quo	schnurri	protein-coding
2L.2187689.2206157	chr2L	2187689	2206157	+	24323.4642309575	0.452374911377533	intron (NM_001272983, intron 1 of 2)	intron (NM_001272983, intron 1 of 2)	989	NM_001272983	5740746	Dm.33408	NM_001103584		CG34172	Dmel\CG34172	uncharacterized protein	protein-coding
3R.14275800.14313810	chr3R	14275800	14313810	+	23266.6244783275	0.139763235825233	intron (NM_001260168, intron 2 of 4)	intron (NM_001260168, intron 2 of 4)	-3420	NM_169573	41738	Dm.6607	NM_142095		CG12207	Dmel\CG12207	uncharacterized protein	protein-coding
2R.24954798.24990482	chr2R	24954798	24990482	+	22708.905037307	0.0293792326670738	promoter-TSS (NM_138146)	promoter-TSS (NM_138146)	567	NM_001299941	37997	Dm.6160	NM_138146		Phk-3	BcDNA:RE09339|CG9358|DmelCSP3|Dmel\CG9358|PHK-3	Pherokine 3	protein-coding
2L.2854802.2891742	chr2L	2854802	2891742	+	21717.3383750462	0.431885275706391	intron (NM_164511, intron 1 of 4)	intron (NM_164511, intron 1 of 4)	1217	NM_164511	33489	Dm.11419	NM_164511		CG31694	CG15401|CG3098|Dmel\CG31694	uncharacterized protein	protein-coding
3R.9038096.9061498	chr3R	9038096	9061498	+	21491.5839282346	0.302792137488084	promoter-TSS (NM_057582)	promoter-TSS (NM_057582)	-550	NM_057582	47895	Dm.33471	NM_057581		Nmdmc	151767_at|CG18466|DNMDMC|Dmel\CG18466|Dnmdmc|Mthfd2|dNMDMC|nmdmc	NAD-dependent methylenetetrahydrofolate dehydrogenase	protein-coding
2L.8681765.8723265	chr2L	8681765	8723265	+	21005.2499644066	0.229757164650145	promoter-TSS (NR_124147)	promoter-TSS (NR_124147)	-960	NR_124147	19836107		NR_124147		CR44992	Dmel\CR44992	ncRNA	ncRNA
2R.7708637.7747655	chr2R	7708637	7747655	+	20617.8672155847	0.0660956631611067	promoter-TSS (NM_165553)	promoter-TSS (NM_165553)	-636	NM_165553	59173	Dm.11989	NM_165552		CG18812	CG12040|CG18813|Dmel\CG18812	uncharacterized protein	protein-coding
3L.9332352.9374642	chr3L	9332352	9374642	+	20104.8526744704	0.300844942153365	promoter-TSS (NM_168326)	promoter-TSS (NM_168326)	-536	NM_168326	317835	Dm.27899	NM_168326		CG32040	Dmel\CG32040	uncharacterized protein	protein-coding
2R.22664798.22690175	chr2R	22664798	22690175	+	20074.6011214015	0.270924155205658	Intergenic	Intergenic	-3791	NR_124702	19834852		NR_124702		CR44761	Dmel\CR44761	ncRNA	ncRNA
